Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Lazer,Família com crianças,Parques aquáticos,2023-03-29,2023-04-04,Goiânia - GO,Ensino Médio,Aposentado,3 a 6 salários mínimos,666.07,Familia de parques aquaticos
Lazer,Família com crianças,Hoteis,2023-06-05,2023-06-10,Belo Horizonte - MG,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1551.58,Turista fiel premium
Saúde/Bem-estar,Família com crianças,Parques aquáticos,2023-12-10,2023-12-17,São Paulo - SP,Superior Incompleto,Estudante,6 a 10 salários mínimos,785.98,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-01-16,2023-01-21,São José do Rio Preto - SP,Superior Completo,Estudante,6 a 10 salários mínimos,474.69,Familia de parques aquaticos
Visitar familiares,Família com crianças,"Restaurantes, parques, saídas à noite",2023-07-25,2023-08-02,São Paulo - SP,Superior Incompleto,CLT,3 a 6 salários mínimos,340.91,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-12-13,2023-12-20,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,763.09,Familia de parques aquaticos
Saúde/Bem-estar,Casal,Hoteis,2024-01-01,2024-01-05,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1884.57,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2023-07-12,2023-07-19,São Paulo - SP,Pós-graduação,Servidor Público,6 a 10 salários mínimos,592.29,Familia de parques aquaticos
Visitar familiares,Casal,Parques aquáticos,2023-10-10,2023-10-14,Curitiba - PR,Superior Incompleto,Empresário/Profissional Liberal,Mais de 10 salários mínimos,337.62,Turista fiel premium
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-03-10,2023-03-17,Belo Horizonte - MG,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,102.53,Turista econômico
Lazer,Casal,Parques aquáticos,2023-04-25,2023-05-01,Ribeirão Preto - SP,Superior Completo,Estudante,6 a 10 salários mínimos,698.34,Familia de parques aquaticos
Lazer,Sozinho,Parques aquáticos,2023-07-09,2023-07-16,Belo Horizonte - MG,Superior Incompleto,Estudante,6 a 10 salários mínimos,573.02,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-01-12,2023-01-16,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,765.38,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-07-08,2023-07-12,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,750.86,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-11-09,2023-11-17,Ribeirão Preto - SP,Ensino Médio,Aposentado,3 a 6 salários mínimos,245.46,Turista econômico
Saúde/Bem-estar,Família com crianças,Parques aquáticos,2023-01-24,2023-01-31,Goiânia - GO,Superior Completo,Assalariado,6 a 10 salários mínimos,786.33,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-12-27,2023-12-31,São Paulo - SP,Superior Completo,Estudante,3 a 6 salários mínimos,688.51,Familia de parques aquaticos
Lazer,Grupo de amigos,Parques aquáticos,2023-07-02,2023-07-09,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,620.86,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-01-23,2023-01-30,São José do Rio Preto - SP,Superior Incompleto,Aposentado,6 a 10 salários mínimos,638.83,Familia de parques aquaticos
Eventos,Casal,Participar de eventos da cidade,2023-08-18,2023-08-23,Belo Horizonte - MG,Superior Incompleto,Servidor Público,3 a 6 salários mínimos,329.92,Turista de Evento
Visitar familiares,Família com crianças,Hoteis,2023-06-05,2023-06-10,Campinas - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1756.58,Turista fiel premium
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-12-08,2023-12-17,São José do Rio Preto - SP,Ensino Médio,Aposentado,Até 3 salários mínimos,149.61,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-07-20,2023-07-26,Ribeirão Preto - SP,Superior Incompleto,Servidor Público,Mais de 10 salários mínimos,1793.53,Familia de parques aquaticos
Saúde/Bem-estar,Grupo de amigos,Participar de eventos da cidade,2023-08-18,2023-08-24,São Paulo - SP,Superior Incompleto,Empresário/Profissional Liberal,3 a 6 salários mínimos,415.98,Turista de Evento
Eventos,Sozinho,Hoteis,2023-09-22,2023-09-26,São Paulo - SP,Ensino Médio,Servidor Público,3 a 6 salários mínimos,213.36,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2023-01-09,2023-01-15,São José do Rio Preto - SP,Superior Incompleto,Servidor Público,Mais de 10 salários mínimos,603.08,Familia de parques aquaticos
Visitar familiares,Família com crianças,Parques aquáticos,2023-07-25,2023-07-31,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,3 a 6 salários mínimos,215.24,Turista econômico
Lazer,Sozinho,Parques aquáticos,2023-12-08,2023-12-15,Curitiba - PR,Superior Incompleto,Aposentado,6 a 10 salários mínimos,529.89,Familia de parques aquaticos
Eventos,Casal,Parques aquáticos,2023-07-09,2023-07-15,São Paulo - SP,Superior Completo,Estudante,Até 3 salários mínimos,581.13,Familia de parques aquaticos
Visitar familiares,Sozinho,Conhecer pontos turísticos principais,2023-09-11,2023-09-20,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,123.24,Turista econômico
Visitar familiares,Família com crianças,Hoteis,2023-10-13,2023-10-17,Campinas - SP,Ensino Médio,Estudante,3 a 6 salários mínimos,1259.92,Turista fiel premium
Eventos,Família com crianças,Participar de eventos da cidade,2023-08-18,2023-08-22,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1041.05,Turista de Evento
Visitar familiares,Grupo de amigos,Conhecer pontos turísticos principais,2023-01-19,2023-01-28,Curitiba - PR,Ensino Médio,Aposentado,Até 3 salários mínimos,107.28,Turista econômico
Visitar familiares,Casal,Parques aquáticos,2023-09-05,2023-09-07,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,506.93,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2023-07-03,2023-07-10,Curitiba - PR,Superior Completo,Estudante,6 a 10 salários mínimos,763.56,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-12-31,2024-01-07,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,613.16,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-01-18,2023-01-24,Curitiba - PR,Ensino Médio,Estudante,6 a 10 salários mínimos,106.1,Turista econômico
Negócios,Família com crianças,Conhecer pontos turísticos principais,2023-12-04,2023-12-10,São Paulo - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,169.8,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-07-05,2023-07-11,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Até 3 salários mínimos,492.09,Familia de parques aquaticos
Eventos,Família com crianças,Parques aquáticos,2023-12-30,2024-01-06,São Paulo - SP,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,497.93,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-12-24,2023-12-31,Curitiba - PR,Superior Incompleto,Servidor Público,Até 3 salários mínimos,100.13,Turista econômico
Eventos,Casal,Participar de eventos da cidade,2023-08-20,2023-08-25,São Paulo - SP,Superior Incompleto,CLT,3 a 6 salários mínimos,286.34,Turista de Evento
Visitar familiares,Família com crianças,"Restaurantes, parques, saídas à noite",2023-12-31,2024-01-04,São Paulo - SP,Ensino Médio,CLT,3 a 6 salários mínimos,377.32,Turista fiel premium
Lazer,Casal,"Restaurantes, parques, saídas à noite",2023-10-18,2023-10-21,Curitiba - PR,Superior Incompleto,Assalariado,3 a 6 salários mínimos,586.87,Casal de fim de semana
Visitar familiares,Grupo de amigos,Parques aquáticos,2023-07-24,2023-07-29,Goiânia - GO,Superior Incompleto,Aposentado,6 a 10 salários mínimos,764.9,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-01-19,2023-01-25,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,738.17,Familia de parques aquaticos
Visitar familiares,Sozinho,Conhecer pontos turísticos principais,2023-12-28,2024-01-03,Ribeirão Preto - SP,Pós-graduação,Aposentado,Até 3 salários mínimos,157.73,Turista econômico
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-01-30,2023-02-05,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,211.25,Turista econômico
Visitar familiares,Família com crianças,Participar de eventos da cidade,2023-12-27,2024-01-04,Ribeirão Preto - SP,Superior Incompleto,Estudante,Até 3 salários mínimos,103.8,Turista econômico
Lazer,Casal,Parques aquáticos,2023-11-01,2023-11-02,São Paulo - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,720.74,Casal de fim de semana
Negócios,Sozinho,Hoteis,2023-03-27,2023-03-29,Belo Horizonte - MG,Pós-graduação,CLT,Até 3 salários mínimos,1312.05,Turista Corporativo
Lazer,Grupo de amigos,Parques aquáticos,2023-08-07,2023-08-13,Campinas - SP,Pós-graduação,Assalariado,3 a 6 salários mínimos,523.57,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-01-17,2023-01-24,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,201.73,Turista econômico
Eventos,Família com crianças,Participar de eventos da cidade,2023-08-18,2023-08-22,Curitiba - PR,Ensino Médio,Assalariado,3 a 6 salários mínimos,403.18,Turista de Evento
Lazer,Família com crianças,Parques aquáticos,2023-01-10,2023-01-15,Campinas - SP,Superior Completo,Empresário/Profissional Liberal,Até 3 salários mínimos,535.88,Familia de parques aquaticos
Visitar familiares,Casal,Conhecer pontos turísticos principais,2023-09-02,2023-09-11,Curitiba - PR,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,417.04,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-12-13,2023-12-19,Ribeirão Preto - SP,Superior Incompleto,Empresário/Profissional Liberal,Até 3 salários mínimos,211.95,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2023-03-10,2023-03-13,São Paulo - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,660.33,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2023-05-03,2023-05-10,São Paulo - SP,Superior Completo,Servidor Público,Mais de 10 salários mínimos,557.09,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-07-18,2023-07-24,Curitiba - PR,Superior Completo,Estudante,3 a 6 salários mínimos,223.41,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-07-30,2023-08-05,Ribeirão Preto - SP,Pós-graduação,Aposentado,6 a 10 salários mínimos,554.05,Familia de parques aquaticos
Lazer,Sozinho,Parques aquáticos,2023-01-22,2023-01-29,Ribeirão Preto - SP,Pós-graduação,Estudante,Até 3 salários mínimos,179.21,Familia de parques aquaticos
Lazer,Família com crianças,Conhecer pontos turísticos principais,2023-07-10,2023-07-16,São Paulo - SP,Superior Incompleto,Aposentado,6 a 10 salários mínimos,610.29,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-01-30,2023-02-03,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,213.33,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-04-03,2023-04-07,São José do Rio Preto - SP,Ensino Médio,Assalariado,6 a 10 salários mínimos,478.13,Familia de parques aquaticos
Eventos,Sozinho,Participar de eventos da cidade,2023-04-06,2023-04-13,Goiânia - GO,Superior Incompleto,CLT,3 a 6 salários mínimos,373.39,Turista de Evento
Lazer,Família com crianças,Parques aquáticos,2023-07-13,2023-07-19,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,3 a 6 salários mínimos,719.67,Familia de parques aquaticos
Negócios,Sozinho,Participar de eventos da cidade,2023-07-19,2023-07-23,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,231.98,Turista Corporativo
Visitar familiares,Grupo de amigos,Conhecer pontos turísticos principais,2023-12-09,2023-12-16,Campinas - SP,Ensino Médio,Aposentado,Até 3 salários mínimos,125.86,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-12-24,2023-12-29,Belo Horizonte - MG,Ensino Médio,Servidor Público,Até 3 salários mínimos,209.58,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-01-13,2023-01-20,Goiânia - GO,Superior Completo,Servidor Público,Até 3 salários mínimos,147.47,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-02-17,2023-02-26,São José do Rio Preto - SP,Ensino Médio,CLT,Até 3 salários mínimos,185.27,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-07-15,2023-07-20,São Paulo - SP,Ensino Médio,Assalariado,6 a 10 salários mínimos,786.42,Familia de parques aquaticos
Eventos,Família com crianças,Parques aquáticos,2023-07-01,2023-07-08,Campinas - SP,Superior Incompleto,Aposentado,3 a 6 salários mínimos,476.56,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2023-08-30,2023-09-04,São José do Rio Preto - SP,Superior Completo,Estudante,Até 3 salários mínimos,626.07,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-12-26,2024-01-02,Belo Horizonte - MG,Superior Completo,Assalariado,3 a 6 salários mínimos,683.65,Familia de parques aquaticos
Negócios,Sozinho,Parques aquáticos,2023-08-10,2023-08-13,Goiânia - GO,Superior Incompleto,Aposentado,3 a 6 salários mínimos,321.2,Turista Corporativo
Negócios,Casal,Hoteis,2023-09-15,2023-09-17,São José do Rio Preto - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,134.82,Turista Corporativo
Lazer,Sozinho,"Restaurantes, parques, saídas à noite",2023-12-14,2023-12-18,Campinas - SP,Superior Incompleto,Aposentado,6 a 10 salários mínimos,638.07,Familia de parques aquaticos
Visitar familiares,Sozinho,Hoteis,2023-10-11,2023-10-15,Goiânia - GO,Superior Completo,Assalariado,3 a 6 salários mínimos,405.48,Turista fiel premium
Visitar familiares,Casal,Hoteis,2023-03-19,2023-03-21,Ribeirão Preto - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1557.74,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2023-12-03,2023-12-09,Ribeirão Preto - SP,Superior Incompleto,Estudante,6 a 10 salários mínimos,759.62,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2023-07-16,2023-07-23,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,634.99,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-07-04,2023-07-09,Campinas - SP,Superior Incompleto,Assalariado,6 a 10 salários mínimos,605.28,Familia de parques aquaticos
Visitar familiares,Família com crianças,"Restaurantes, parques, saídas à noite",2023-01-11,2023-01-19,Campinas - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,166.33,Turista econômico
Visitar familiares,Sozinho,Conhecer pontos turísticos principais,2023-12-30,2024-01-05,Belo Horizonte - MG,Ensino Médio,Aposentado,Até 3 salários mínimos,206.9,Turista econômico
Visitar familiares,Sozinho,Conhecer pontos turísticos principais,2023-12-17,2023-12-23,São José do Rio Preto - SP,Superior Incompleto,Aposentado,6 a 10 salários mínimos,360.73,Turista econômico
Eventos,Família com crianças,Participar de eventos da cidade,2023-01-12,2023-01-18,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,481.45,Turista de Evento
Saúde/Bem-estar,Sozinho,Parques aquáticos,2023-01-01,2023-01-07,São Paulo - SP,Superior Completo,Estudante,Até 3 salários mínimos,552.76,Familia de parques aquaticos
Negócios,Família com crianças,Parques aquáticos,2023-07-29,2023-08-03,Belo Horizonte - MG,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,580.48,Familia de parques aquaticos
Negócios,Família com crianças,Hoteis,2023-07-12,2023-07-13,Belo Horizonte - MG,Superior Incompleto,CLT,3 a 6 salários mínimos,447.41,Turista Corporativo
Lazer,Sozinho,Parques aquáticos,2023-07-01,2023-07-05,São Paulo - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,542.12,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-01-13,2023-01-22,Campinas - SP,Superior Incompleto,Empresário/Profissional Liberal,Até 3 salários mínimos,228.45,Turista econômico
Negócios,Sozinho,Hoteis,2023-08-10,2023-08-13,Curitiba - PR,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,124.58,Turista Corporativo
Eventos,Grupo de amigos,Participar de eventos da cidade,2023-08-19,2023-08-25,Goiânia - GO,Ensino Médio,Servidor Público,3 a 6 salários mínimos,407.34,Turista de Evento
Lazer,Família com crianças,Parques aquáticos,2023-01-26,2023-02-01,São Paulo - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,487.95,Familia de parques aquaticos
Eventos,Sozinho,Hoteis,2023-08-21,2023-08-27,São José do Rio Preto - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1198.84,Turista de Evento
Lazer,Grupo de amigos,Parques aquáticos,2023-10-12,2023-10-16,São José do Rio Preto - SP,Superior Completo,Estudante,6 a 10 salários mínimos,533.66,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2023-03-03,2023-03-05,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,616.08,Turista Corporativo
Visitar familiares,Grupo de amigos,Conhecer pontos turísticos principais,2023-04-30,2023-05-06,São José do Rio Preto - SP,Pós-graduação,Assalariado,Até 3 salários mínimos,159.15,Turista econômico
Negócios,Sozinho,Hoteis,2023-05-29,2023-06-02,Goiânia - GO,Superior Completo,Assalariado,Até 3 salários mínimos,154.96,Turista Corporativo
Eventos,Casal,Participar de eventos da cidade,2023-08-18,2023-08-25,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,724.77,Turista de Evento
Visitar familiares,Grupo de amigos,Participar de eventos da cidade,2023-02-24,2023-02-28,Ribeirão Preto - SP,Superior Completo,CLT,3 a 6 salários mínimos,385.53,Turista de Evento
Eventos,Grupo de amigos,Participar de eventos da cidade,2023-08-20,2023-08-24,São Paulo - SP,Superior Incompleto,CLT,3 a 6 salários mínimos,376.59,Turista de Evento
Visitar familiares,Sozinho,Hoteis,2023-02-06,2023-02-08,São Paulo - SP,Ensino Médio,Estudante,Até 3 salários mínimos,104.15,Turista Corporativo
Eventos,Família com crianças,"Restaurantes, parques, saídas à noite",2023-09-11,2023-09-17,Goiânia - GO,Superior Completo,Assalariado,6 a 10 salários mínimos,608.65,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-08-03,2023-08-10,São Paulo - SP,Pós-graduação,Aposentado,Até 3 salários mínimos,246.91,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-01-14,2023-01-19,São Paulo - SP,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,565.06,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-08-12,2023-08-16,Curitiba - PR,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1758.67,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-07-03,2023-07-10,Campinas - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,700.33,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-01-28,2023-02-04,São Paulo - SP,Superior Completo,Assalariado,3 a 6 salários mínimos,720.86,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-07-26,2023-07-30,São José do Rio Preto - SP,Superior Completo,Estudante,6 a 10 salários mínimos,668.52,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-12-12,2023-12-18,São José do Rio Preto - SP,Pós-graduação,Empresário/Profissional Liberal,6 a 10 salários mínimos,572.19,Familia de parques aquaticos
Lazer,Grupo de amigos,Participar de eventos da cidade,2023-05-02,2023-05-05,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,655.53,Casal de fim de semana
Negócios,Sozinho,Hoteis,2023-11-08,2023-11-12,Campinas - SP,Superior Incompleto,Estudante,Até 3 salários mínimos,160.34,Turista Corporativo
Visitar familiares,Sozinho,Participar de eventos da cidade,2023-12-26,2024-01-04,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,216.39,Turista econômico
Visitar familiares,Casal,"Restaurantes, parques, saídas à noite",2023-01-09,2023-01-16,São Paulo - SP,Superior Completo,Assalariado,Até 3 salários mínimos,182.39,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-12-10,2023-12-14,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,713.79,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2023-04-03,2023-04-07,São Paulo - SP,Pós-graduação,Assalariado,3 a 6 salários mínimos,1296.58,Familia de parques aquaticos
Lazer,Sozinho,Parques aquáticos,2023-06-05,2023-06-10,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Até 3 salários mínimos,530.55,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-12-19,2023-12-26,Curitiba - PR,Superior Completo,Empresário/Profissional Liberal,Até 3 salários mínimos,142.26,Turista econômico
Lazer,Grupo de amigos,Parques aquáticos,2023-10-17,2023-10-23,Curitiba - PR,Superior Completo,Estudante,6 a 10 salários mínimos,652.14,Familia de parques aquaticos
Eventos,Grupo de amigos,Participar de eventos da cidade,2023-08-20,2023-08-27,São Paulo - SP,Superior Incompleto,Servidor Público,Mais de 10 salários mínimos,270.27,Turista de Evento
Negócios,Sozinho,Hoteis,2023-03-27,2023-03-29,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,483.64,Turista Corporativo
Lazer,Família com crianças,Conhecer pontos turísticos principais,2023-01-12,2023-01-20,Curitiba - PR,Superior Completo,Aposentado,6 a 10 salários mínimos,172.14,Turista econômico
Eventos,Família com crianças,Participar de eventos da cidade,2023-08-21,2023-08-28,Belo Horizonte - MG,Superior Incompleto,Empresário/Profissional Liberal,6 a 10 salários mínimos,473.57,Turista de Evento
Negócios,Sozinho,Hoteis,2023-05-12,2023-05-14,São Paulo - SP,Ensino Médio,CLT,Até 3 salários mínimos,140.36,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2023-07-19,2023-07-24,São Paulo - SP,Pós-graduação,Estudante,Mais de 10 salários mínimos,1417.14,Familia de parques aquaticos
Visitar familiares,Sozinho,Participar de eventos da cidade,2023-12-05,2023-12-14,Ribeirão Preto - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,178.25,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2023-01-09,2023-01-15,São Paulo - SP,Superior Completo,Assalariado,Até 3 salários mínimos,792.66,Familia de parques aquaticos
Visitar familiares,Grupo de amigos,Conhecer pontos turísticos principais,2023-01-14,2023-01-23,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,135.99,Turista econômico
Lazer,Família com crianças,Participar de eventos da cidade,2023-07-25,2023-07-29,Goiânia - GO,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,481.05,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2024-01-01,2024-01-06,Ribeirão Preto - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,208.0,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2023-12-26,2024-01-01,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1245.6,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2023-11-03,2023-11-07,Campinas - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,167.4,Casal de fim de semana
Lazer,Casal,"Restaurantes, parques, saídas à noite",2023-12-29,2024-01-01,Goiânia - GO,Pós-graduação,Empresário/Profissional Liberal,6 a 10 salários mínimos,500.34,Casal de fim de semana
Lazer,Família com crianças,"Restaurantes, parques, saídas à noite",2023-04-19,2023-04-21,Campinas - SP,Superior Completo,Empresário/Profissional Liberal,Até 3 salários mínimos,668.21,Casal de fim de semana
Lazer,Casal,"Restaurantes, parques, saídas à noite",2023-03-31,2023-04-04,Ribeirão Preto - SP,Superior Completo,Assalariado,Até 3 salários mínimos,629.68,Casal de fim de semana
Visitar familiares,Família com crianças,Hoteis,2023-12-24,2023-12-26,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1848.86,Turista fiel premium
