Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Eventos,Família com crianças,Participar de eventos da cidade,2025-07-29,2025-08-05,Campinas - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1207.33,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-09-04,2025-09-09,Campinas - SP,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,673.09,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-01-14,2025-01-20,São José do Rio Preto - SP,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,1932.92,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-08-01,2025-08-03,São Paulo - SP,Superior Incompleto,Servidor Público,Até 3 salários mínimos,240.02,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-07-04,2025-07-10,São Paulo - SP,Superior Completo,CLT,Mais de 10 salários mínimos,667.5,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-06,2025-07-10,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,621.69,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-02-14,2025-02-17,Belo Horizonte - MG,Ensino Médio,Aposentado,Até 3 salários mínimos,154.8,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-01-20,2025-01-27,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,703.05,Familia de parques aquaticos
Visitar familiares,Grupo de amigos,Hoteis,2025-10-11,2025-10-16,São José do Rio Preto - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1582.32,Turista fiel premium
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-03-26,2025-03-29,Belo Horizonte - MG,Superior Completo,CLT,Até 3 salários mínimos,745.54,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-10-10,2025-10-15,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,683.63,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2025-12-25,2025-12-28,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,860.51,Turista fiel premium
Lazer,Casal,Participar de eventos da cidade,2025-09-06,2025-09-07,Ribeirão Preto - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,864.37,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-07-26,2025-07-30,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,741.35,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-07-30,2025-08-06,São Paulo - SP,Ensino Médio,CLT,Até 3 salários mínimos,176.08,Turista econômico
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-01-25,2025-01-31,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,215.12,Turista econômico
Negócios,Sozinho,Parques aquáticos,2025-10-10,2025-10-12,São José do Rio Preto - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,114.05,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-07-12,2025-07-19,São José do Rio Preto - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,723.14,Familia de parques aquaticos
Negócios,Família com crianças,Hoteis,2025-03-14,2025-03-16,São Paulo - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,115.45,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-12-31,2026-01-07,São Paulo - SP,Pós-graduação,Aposentado,Mais de 10 salários mínimos,1649.87,Familia de parques aquaticos
Saúde/Bem-estar,Casal,Participar de eventos da cidade,2025-04-03,2025-04-05,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,694.56,Casal de fim de semana
Eventos,Família com crianças,Conhecer pontos turísticos principais,2025-12-18,2025-12-26,Campinas - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,146.01,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-12-26,2026-01-02,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,551.31,Familia de parques aquaticos
Lazer,Família com crianças,"Restaurantes, parques, saídas à noite",2025-10-19,2025-10-25,Curitiba - PR,Superior Completo,Estudante,6 a 10 salários mínimos,569.93,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-24,2025-07-29,Ribeirão Preto - SP,Ensino Médio,Aposentado,6 a 10 salários mínimos,566.84,Familia de parques aquaticos
Eventos,Família com crianças,Participar de eventos da cidade,2025-08-18,2025-08-22,Curitiba - PR,Pós-graduação,CLT,6 a 10 salários mínimos,429.45,Turista de Evento
Negócios,Família com crianças,Parques aquáticos,2025-01-06,2025-01-11,São Paulo - SP,Superior Incompleto,Aposentado,6 a 10 salários mínimos,626.19,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-07,2025-07-14,São Paulo - SP,Pós-graduação,Assalariado,Até 3 salários mínimos,765.25,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-23,2025-07-29,São Paulo - SP,Superior Incompleto,CLT,6 a 10 salários mínimos,648.78,Familia de parques aquaticos
Negócios,Casal,"Restaurantes, parques, saídas à noite",2025-11-16,2025-11-18,Belo Horizonte - MG,Ensino Médio,CLT,6 a 10 salários mínimos,451.91,Casal de fim de semana
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-12-30,2026-01-01,São José do Rio Preto - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,184.17,Casal de fim de semana
Eventos,Família com crianças,Participar de eventos da cidade,2025-08-19,2025-08-26,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,751.19,Turista de Evento
Negócios,Família com crianças,Parques aquáticos,2025-01-23,2025-01-27,São José do Rio Preto - SP,Superior Completo,Assalariado,Até 3 salários mínimos,501.24,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-01-29,2025-02-06,São Paulo - SP,Superior Incompleto,Servidor Público,3 a 6 salários mínimos,177.46,Turista econômico
Lazer,Sozinho,Parques aquáticos,2025-12-30,2026-01-06,São Paulo - SP,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,453.74,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-05-15,2025-05-22,Curitiba - PR,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,123.09,Turista econômico
Visitar familiares,Família com crianças,Parques aquáticos,2025-12-29,2026-01-04,São Paulo - SP,Superior Completo,Servidor Público,3 a 6 salários mínimos,120.84,Turista econômico
Visitar familiares,Família com crianças,Parques aquáticos,2025-10-25,2025-10-31,Ribeirão Preto - SP,Superior Incompleto,Servidor Público,Mais de 10 salários mínimos,554.92,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2025-07-22,2025-07-26,São Paulo - SP,Superior Completo,Servidor Público,Até 3 salários mínimos,1415.58,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2025-01-07,2025-01-14,Ribeirão Preto - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,193.23,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-07-10,2025-07-14,São Paulo - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,654.57,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-12-22,2025-12-24,Campinas - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,195.55,Turista Corporativo
Eventos,Sozinho,Participar de eventos da cidade,2025-08-18,2025-08-24,São Paulo - SP,Superior Incompleto,Empresário/Profissional Liberal,6 a 10 salários mínimos,271.82,Turista de Evento
Visitar familiares,Casal,"Restaurantes, parques, saídas à noite",2025-04-06,2025-04-09,Goiânia - GO,Superior Completo,Estudante,3 a 6 salários mínimos,696.03,Casal de fim de semana
Eventos,Família com crianças,Hoteis,2025-05-21,2025-05-25,São Paulo - SP,Superior Completo,Aposentado,Até 3 salários mínimos,131.59,Turista Corporativo
Visitar familiares,Família com crianças,Hoteis,2025-12-31,2026-01-02,Goiânia - GO,Superior Incompleto,Assalariado,3 a 6 salários mínimos,363.56,Turista fiel premium
Saúde/Bem-estar,Família com crianças,Participar de eventos da cidade,2025-12-14,2025-12-21,São Paulo - SP,Superior Incompleto,CLT,6 a 10 salários mínimos,483.76,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-01-13,2025-01-20,Goiânia - GO,Ensino Médio,Servidor Público,Até 3 salários mínimos,103.7,Turista econômico
Visitar familiares,Família com crianças,Parques aquáticos,2025-07-11,2025-07-18,Belo Horizonte - MG,Ensino Médio,Empresário/Profissional Liberal,6 a 10 salários mínimos,688.51,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-01-22,2025-01-27,São Paulo - SP,Superior Completo,Assalariado,Até 3 salários mínimos,632.43,Familia de parques aquaticos
Negócios,Família com crianças,Participar de eventos da cidade,2025-08-20,2025-08-25,Curitiba - PR,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,651.06,Turista de Evento
Saúde/Bem-estar,Casal,Hoteis,2025-12-29,2025-12-31,São Paulo - SP,Superior Incompleto,Aposentado,3 a 6 salários mínimos,1405.37,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2025-01-02,2025-01-06,Belo Horizonte - MG,Superior Completo,CLT,6 a 10 salários mínimos,615.51,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-05-10,2025-05-17,Curitiba - PR,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1836.79,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-04-29,2025-04-30,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,772.82,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-01-28,2025-02-02,Goiânia - GO,Ensino Médio,Aposentado,6 a 10 salários mínimos,783.95,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-12-13,2025-12-17,Campinas - SP,Pós-graduação,Empresário/Profissional Liberal,3 a 6 salários mínimos,307.79,Familia de parques aquaticos
Visitar familiares,Casal,Parques aquáticos,2025-08-07,2025-08-13,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,495.57,Familia de parques aquaticos
Eventos,Grupo de amigos,Parques aquáticos,2025-08-19,2025-08-25,Belo Horizonte - MG,Superior Incompleto,CLT,Até 3 salários mínimos,307.81,Turista de Evento
Lazer,Família com crianças,Parques aquáticos,2025-01-29,2025-02-02,Belo Horizonte - MG,Ensino Médio,CLT,6 a 10 salários mínimos,702.09,Familia de parques aquaticos
Lazer,Sozinho,Participar de eventos da cidade,2025-07-16,2025-07-20,Ribeirão Preto - SP,Pós-graduação,Servidor Público,6 a 10 salários mínimos,498.58,Familia de parques aquaticos
Visitar familiares,Grupo de amigos,"Restaurantes, parques, saídas à noite",2025-07-25,2025-08-02,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,293.5,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-07-02,2025-07-07,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,684.96,Familia de parques aquaticos
Eventos,Grupo de amigos,Participar de eventos da cidade,2025-08-18,2025-08-24,São Paulo - SP,Superior Incompleto,CLT,3 a 6 salários mínimos,270.6,Turista de Evento
Lazer,Família com crianças,Parques aquáticos,2025-01-15,2025-01-20,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Até 3 salários mínimos,468.81,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2025-01-22,2025-01-30,Belo Horizonte - MG,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,121.86,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-07-30,2025-08-06,Curitiba - PR,Superior Incompleto,Empresário/Profissional Liberal,6 a 10 salários mínimos,419.88,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-06-02,2025-06-06,São Paulo - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,141.39,Turista Corporativo
Visitar familiares,Grupo de amigos,Hoteis,2025-10-11,2025-10-16,São José do Rio Preto - SP,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,761.9,Turista fiel premium
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-12-15,2025-12-24,São Paulo - SP,Superior Completo,Assalariado,Até 3 salários mínimos,200.16,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-01-30,2025-02-06,São José do Rio Preto - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,564.59,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-05,2025-07-11,São José do Rio Preto - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,550.19,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-01-09,2025-01-14,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,923.5,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-07,2025-07-14,Campinas - SP,Pós-graduação,Estudante,6 a 10 salários mínimos,545.63,Familia de parques aquaticos
