Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Visitar familiares,Família com crianças,Hoteis,2026-01-01,2026-01-06,São José do Rio Preto - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1096.69,Turista fiel premium
Lazer,Família com crianças,Parques de Entretenimento,2025-07-05,2025-07-10,Campinas - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,692.88,Familia de parques aquaticos
Lazer,Família com crianças,Parques Aquáticos,2025-12-01,2025-12-08,Belo Horizonte - MG,Superior Completo,Aposentado,6 a 10 salários mínimos,779.96,Familia de parques aquaticos
Lazer,Família com crianças,Centros de Evento,2025-01-16,2025-01-20,Belo Horizonte - MG,Superior Completo,CLT,6 a 10 salários mínimos,684.11,Familia de parques aquaticos
Eventos,Grupo de amigos,Hoteis,2025-08-21,2025-08-26,Campinas - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,513.61,Turista de Evento
Visitar familiares,Família com crianças,Pontos Turisticos,2025-11-18,2025-11-24,Ribeirão Preto - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1219.95,Turista econômico
Visitar familiares,Casal,Parques Aquáticos,2025-07-19,2025-07-26,Curitiba - PR,Superior Incompleto,Assalariado,Até 3 salários mínimos,138.44,Turista econômico
Lazer,Grupo de amigos,Restaurantes,2025-01-22,2025-01-29,Ribeirão Preto - SP,Superior Completo,Empresário/Profissional Liberal,Até 3 salários mínimos,700.26,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-01-22,2025-01-25,São Paulo - SP,Superior Incompleto,Aposentado,Até 3 salários mínimos,199.23,Turista Corporativo
Visitar familiares,Grupo de amigos,Pontos Turisticos,2025-07-14,2025-07-21,São José do Rio Preto - SP,Superior Completo,Aposentado,Até 3 salários mínimos,244.82,Turista econômico
Lazer,Família com crianças,Parques Aquáticos,2025-12-09,2025-12-16,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,612.65,Familia de parques aquaticos
Lazer,Família com crianças,Parques Aquáticos,2025-12-26,2026-01-01,Campinas - SP,Superior Incompleto,Estudante,3 a 6 salários mínimos,630.82,Familia de parques aquaticos
Visitar familiares,Família com crianças,Pontos Culturais,2025-08-19,2025-08-28,São José do Rio Preto - SP,Ensino Médio,Aposentado,Até 3 salários mínimos,145.93,Turista econômico
Eventos,Família com crianças,Pontos Culturais,2025-08-19,2025-08-25,São Paulo - SP,Superior Incompleto,Aposentado,3 a 6 salários mínimos,357.17,Turista de Evento
Lazer,Família com crianças,Hoteis,2025-04-10,2025-04-16,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Até 3 salários mínimos,512.8,Familia de parques aquaticos
Visitar familiares,Casal,Hoteis,2025-12-31,2026-01-05,Belo Horizonte - MG,Superior Incompleto,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1208.85,Turista fiel premium
Lazer,Casal,Pontos Culturais,2025-12-31,2026-01-01,Goiânia - GO,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,942.14,Casal de fim de semana
Lazer,Família com crianças,Centros de Evento,2025-06-06,2025-06-10,São Paulo - SP,Superior Incompleto,Servidor Público,Mais de 10 salários mínimos,709.03,Familia de parques aquaticos
Lazer,Casal,Restaurantes,2025-07-10,2025-07-14,Ribeirão Preto - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,697.43,Familia de parques aquaticos
Visitar familiares,Família com crianças,Pontos Turisticos,2025-07-21,2025-07-28,São Paulo - SP,Superior Incompleto,Assalariado,Até 3 salários mínimos,739.32,Turista econômico
Negócios,Família com crianças,Pontos Culturais,2025-01-09,2025-01-18,Ribeirão Preto - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,189.71,Turista econômico
Eventos,Sozinho,Parques Aquáticos,2025-12-11,2025-12-14,Campinas - SP,Superior Completo,Servidor Público,3 a 6 salários mínimos,717.09,Casal de fim de semana
Lazer,Família com crianças,Pontos Culturais,2025-01-11,2025-01-17,São Paulo - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,750.21,Familia de parques aquaticos
Visitar familiares,Família com crianças,Pontos Culturais,2025-12-13,2025-12-19,São Paulo - SP,Ensino Médio,Aposentado,Até 3 salários mínimos,181.39,Turista econômico
Visitar familiares,Casal,Hoteis,2025-08-13,2025-08-18,São Paulo - SP,Superior Incompleto,Estudante,3 a 6 salários mínimos,444.63,Turista fiel premium
Lazer,Casal,Hoteis,2025-11-28,2025-11-30,Belo Horizonte - MG,Superior Completo,Aposentado,6 a 10 salários mínimos,700.81,Casal de fim de semana
Lazer,Família com crianças,Centros de Evento,2025-12-28,2026-01-01,São José do Rio Preto - SP,Pós-graduação,Empresário/Profissional Liberal,6 a 10 salários mínimos,726.5,Familia de parques aquaticos
Lazer,Família com crianças,Centros de Evento,2025-01-18,2025-01-25,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,643.17,Familia de parques aquaticos
Eventos,Família com crianças,Pontos Turisticos,2025-08-21,2025-08-28,Campinas - SP,Pós-graduação,Empresário/Profissional Liberal,6 a 10 salários mínimos,382.74,Turista de Evento
Saúde/Bem-estar,Família com crianças,Restaurantes,2025-12-26,2025-12-30,Campinas - SP,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,593.49,Familia de parques aquaticos
Lazer,Família com crianças,Pontos Turisticos,2025-10-01,2025-10-08,São José do Rio Preto - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1552.16,Familia de parques aquaticos
Lazer,Família com crianças,Parques de Entretenimento,2025-12-25,2025-12-29,Goiânia - GO,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,692.9,Familia de parques aquaticos
Lazer,Família com crianças,Pontos Culturais,2025-01-03,2025-01-10,Campinas - SP,Superior Incompleto,Empresário/Profissional Liberal,Mais de 10 salários mínimos,534.29,Familia de parques aquaticos
Lazer,Família com crianças,Centros de Evento,2025-01-15,2025-01-21,Campinas - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1158.99,Familia de parques aquaticos
Eventos,Casal,Parques Aquáticos,2025-08-20,2025-08-24,Ribeirão Preto - SP,Pós-graduação,Assalariado,6 a 10 salários mínimos,1589.88,Turista de Evento
Eventos,Sozinho,Pontos Turisticos,2025-04-28,2025-05-04,Goiânia - GO,Superior Completo,Assalariado,3 a 6 salários mínimos,288.03,Turista de Evento
Visitar familiares,Sozinho,Pontos Turisticos,2025-07-19,2025-07-27,São Paulo - SP,Superior Completo,CLT,Até 3 salários mínimos,113.52,Turista econômico
Visitar familiares,Família com crianças,Pontos Culturais,2025-01-30,2025-02-08,Campinas - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1154.17,Turista econômico
Visitar familiares,Família com crianças,Pontos Turisticos,2025-12-18,2025-12-26,São Paulo - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,159.19,Turista econômico
Negócios,Sozinho,Pontos Turisticos,2025-01-13,2025-01-16,Curitiba - PR,Superior Completo,Servidor Público,Até 3 salários mínimos,527.48,Turista Corporativo
Visitar familiares,Casal,Parques de Entretenimento,2025-03-01,2025-03-03,Curitiba - PR,Superior Completo,Servidor Público,Mais de 10 salários mínimos,1445.06,Turista fiel premium
Lazer,Família com crianças,Centros de Evento,2025-12-20,2025-12-27,Campinas - SP,Superior Incompleto,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1135.69,Familia de parques aquaticos
Saúde/Bem-estar,Família com crianças,Centros de Evento,2025-10-12,2025-10-17,São Paulo - SP,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,1938.81,Familia de parques aquaticos
Visitar familiares,Família com crianças,Centros de Evento,2025-08-19,2025-08-24,São José do Rio Preto - SP,Superior Completo,Servidor Público,3 a 6 salários mínimos,296.6,Turista de Evento
Visitar familiares,Família com crianças,Pontos Culturais,2025-07-01,2025-07-08,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,218.5,Turista econômico
Lazer,Família com crianças,Restaurantes,2025-01-19,2025-01-23,Curitiba - PR,Superior Completo,Assalariado,6 a 10 salários mínimos,527.54,Familia de parques aquaticos
Lazer,Grupo de amigos,Restaurantes,2025-01-22,2025-01-26,Ribeirão Preto - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,768.4,Familia de parques aquaticos
Lazer,Família com crianças,Hoteis,2025-07-10,2025-07-17,Ribeirão Preto - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,600.57,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-08-01,2025-08-02,Ribeirão Preto - SP,Pós-graduação,Aposentado,Até 3 salários mínimos,146.88,Turista Corporativo
Lazer,Casal,Restaurantes,2025-12-29,2026-01-01,Campinas - SP,Pós-graduação,Assalariado,6 a 10 salários mínimos,593.78,Casal de fim de semana
Lazer,Casal,Restaurantes,2025-04-22,2025-04-24,São Paulo - SP,Ensino Médio,CLT,6 a 10 salários mínimos,572.54,Casal de fim de semana
Visitar familiares,Grupo de amigos,Pontos Turisticos,2025-07-01,2025-07-09,São Paulo - SP,Pós-graduação,CLT,3 a 6 salários mínimos,140.99,Turista econômico
Visitar familiares,Família com crianças,Parques Aquáticos,2025-04-30,2025-05-09,Goiânia - GO,Superior Incompleto,Estudante,Até 3 salários mínimos,151.13,Turista econômico
Visitar familiares,Casal,Hoteis,2025-06-05,2025-06-10,São Paulo - SP,Pós-graduação,Aposentado,6 a 10 salários mínimos,1330.45,Turista fiel premium
Lazer,Família com crianças,Pontos Culturais,2025-01-20,2025-01-24,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,145.21,Familia de parques aquaticos
Lazer,Família com crianças,Restaurantes,2025-01-18,2025-01-24,Curitiba - PR,Ensino Médio,Servidor Público,Até 3 salários mínimos,422.35,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2025-06-04,2025-06-07,São Paulo - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1541.75,Turista fiel premium
Lazer,Família com crianças,Parques Aquáticos,2025-01-11,2025-01-16,Goiânia - GO,Superior Incompleto,Servidor Público,3 a 6 salários mínimos,376.64,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-11-05,2025-11-07,Campinas - SP,Superior Completo,Estudante,Até 3 salários mínimos,198.33,Turista Corporativo
Visitar familiares,Grupo de amigos,Hoteis,2025-07-28,2025-08-05,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,110.24,Turista econômico
Lazer,Família com crianças,Restaurantes,2025-01-21,2025-01-25,Goiânia - GO,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,627.47,Familia de parques aquaticos
Lazer,Família com crianças,Parques Aquáticos,2025-01-02,2025-01-09,São José do Rio Preto - SP,Superior Incompleto,CLT,3 a 6 salários mínimos,429.83,Familia de parques aquaticos
Lazer,Grupo de amigos,Parques Aquáticos,2025-05-01,2025-05-05,Ribeirão Preto - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,568.43,Casal de fim de semana
Lazer,Família com crianças,Parques de Entretenimento,2025-11-05,2025-11-10,Curitiba - PR,Superior Completo,Assalariado,3 a 6 salários mínimos,653.96,Familia de parques aquaticos
Negócios,Sozinho,Parques Aquáticos,2025-06-18,2025-06-20,São José do Rio Preto - SP,Superior Incompleto,Assalariado,3 a 6 salários mínimos,224.34,Turista Corporativo
Negócios,Casal,Hoteis,2025-06-24,2025-06-28,Goiânia - GO,Ensino Médio,Estudante,Até 3 salários mínimos,250.0,Turista Corporativo
Visitar familiares,Sozinho,Restaurantes,2025-12-05,2025-12-14,Curitiba - PR,Superior Incompleto,Assalariado,Até 3 salários mínimos,127.13,Turista econômico
Lazer,Família com crianças,Parques de Entretenimento,2025-01-24,2025-01-31,Curitiba - PR,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,533.71,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-08-04,2025-08-06,Ribeirão Preto - SP,Superior Incompleto,Servidor Público,3 a 6 salários mínimos,410.25,Turista Corporativo
Visitar familiares,Sozinho,Hoteis,2025-12-31,2026-01-05,São Paulo - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,976.82,Turista fiel premium
Lazer,Casal,Pontos Culturais,2025-12-12,2025-12-17,Goiânia - GO,Superior Incompleto,CLT,6 a 10 salários mínimos,239.62,Familia de parques aquaticos
Negócios,Casal,Hoteis,2025-09-05,2025-09-06,Ribeirão Preto - SP,Pós-graduação,Aposentado,Até 3 salários mínimos,132.35,Casal de fim de semana
Lazer,Família com crianças,Restaurantes,2025-12-15,2025-12-19,São José do Rio Preto - SP,Ensino Médio,CLT,3 a 6 salários mínimos,431.03,Familia de parques aquaticos
Negócios,Casal,Hoteis,2025-12-09,2025-12-10,Goiânia - GO,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,154.09,Turista Corporativo
Visitar familiares,Casal,Parques de Entretenimento,2025-11-15,2025-11-16,Goiânia - GO,Superior Completo,Servidor Público,6 a 10 salários mínimos,706.53,Casal de fim de semana
Lazer,Família com crianças,Hoteis,2025-07-23,2025-07-30,Campinas - SP,Superior Completo,Servidor Público,Até 3 salários mínimos,734.02,Familia de parques aquaticos
Lazer,Sozinho,Parques Aquáticos,2025-01-27,2025-02-03,Goiânia - GO,Superior Completo,Assalariado,3 a 6 salários mínimos,713.65,Familia de parques aquaticos
Lazer,Família com crianças,Centros de Evento,2025-12-13,2025-12-19,São José do Rio Preto - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1395.44,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-02-10,2025-02-13,Ribeirão Preto - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,145.97,Turista Corporativo
Lazer,Sozinho,Hoteis,2025-07-26,2025-07-30,Ribeirão Preto - SP,Superior Completo,Empresário/Profissional Liberal,3 a 6 salários mínimos,377.5,Familia de parques aquaticos
Lazer,Família com crianças,Restaurantes,2025-12-12,2025-12-18,Curitiba - PR,Superior Completo,Servidor Público,6 a 10 salários mínimos,648.54,Familia de parques aquaticos
Lazer,Família com crianças,Parques Aquáticos,2025-01-31,2025-02-04,São Paulo - SP,Pós-graduação,Servidor Público,Até 3 salários mínimos,127.91,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-04-13,2025-04-14,Curitiba - PR,Superior Incompleto,Assalariado,Até 3 salários mínimos,111.11,Turista Corporativo
Saúde/Bem-estar,Sozinho,Hoteis,2025-08-20,2025-08-25,São José do Rio Preto - SP,Superior Completo,Empresário/Profissional Liberal,3 a 6 salários mínimos,435.46,Turista de Evento
Eventos,Casal,Pontos Culturais,2025-08-21,2025-08-26,Goiânia - GO,Pós-graduação,Estudante,3 a 6 salários mínimos,267.24,Turista de Evento
Lazer,Família com crianças,Restaurantes,2025-10-16,2025-10-22,Goiânia - GO,Superior Incompleto,CLT,3 a 6 salários mínimos,415.81,Familia de parques aquaticos
Negócios,Casal,Restaurantes,2025-01-11,2025-01-16,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,779.32,Familia de parques aquaticos
Eventos,Sozinho,Hoteis,2025-08-19,2025-08-24,São José do Rio Preto - SP,Superior Completo,Empresário/Profissional Liberal,3 a 6 salários mínimos,394.13,Turista de Evento
Eventos,Família com crianças,Parques de Entretenimento,2025-10-31,2025-11-04,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,640.95,Casal de fim de semana
Lazer,Família com crianças,Parques de Entretenimento,2025-07-11,2025-07-16,Curitiba - PR,Superior Completo,CLT,6 a 10 salários mínimos,701.43,Familia de parques aquaticos
Visitar familiares,Família com crianças,Pontos Culturais,2025-07-05,2025-07-11,Curitiba - PR,Ensino Médio,CLT,6 a 10 salários mínimos,241.81,Turista econômico
Eventos,Família com crianças,Parques Aquáticos,2025-12-15,2025-12-24,Campinas - SP,Superior Completo,CLT,Até 3 salários mínimos,624.08,Turista econômico
Lazer,Casal,Pontos Culturais,2025-12-01,2025-12-08,São Paulo - SP,Superior Incompleto,Servidor Público,3 a 6 salários mínimos,452.86,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2025-07-03,2025-07-12,Ribeirão Preto - SP,Pós-graduação,Empresário/Profissional Liberal,Até 3 salários mínimos,214.66,Turista econômico
Lazer,Família com crianças,Centros de Evento,2025-01-05,2025-01-10,Goiânia - GO,Ensino Médio,Aposentado,Até 3 salários mínimos,590.49,Familia de parques aquaticos
Lazer,Sozinho,Restaurantes,2025-06-13,2025-06-18,São José do Rio Preto - SP,Superior Completo,Estudante,6 a 10 salários mínimos,665.78,Familia de parques aquaticos
Lazer,Família com crianças,Pontos Turisticos,2025-07-14,2025-07-20,Campinas - SP,Ensino Médio,Assalariado,6 a 10 salários mínimos,703.86,Familia de parques aquaticos
Visitar familiares,Família com crianças,Pontos Turisticos,2025-01-21,2025-01-30,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Até 3 salários mínimos,202.11,Turista econômico
Lazer,Família com crianças,Parques de Entretenimento,2025-07-16,2025-07-20,Campinas - SP,Pós-graduação,Aposentado,6 a 10 salários mínimos,631.54,Familia de parques aquaticos
Lazer,Sozinho,Parques Aquáticos,2025-12-24,2025-12-30,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,517.29,Familia de parques aquaticos
Visitar familiares,Família com crianças,Pontos Culturais,2025-07-30,2025-08-07,São Paulo - SP,Pós-graduação,Servidor Público,Até 3 salários mínimos,186.02,Turista econômico
Eventos,Família com crianças,Parques Aquáticos,2025-08-21,2025-08-27,São José do Rio Preto - SP,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,292.8,Turista de Evento
Lazer,Família com crianças,Parques de Entretenimento,2025-07-21,2025-07-26,Goiânia - GO,Ensino Médio,Empresário/Profissional Liberal,3 a 6 salários mínimos,162.0,Familia de parques aquaticos
Saúde/Bem-estar,Casal,Hoteis,2025-09-01,2025-09-08,São Paulo - SP,Superior Incompleto,Empresário/Profissional Liberal,3 a 6 salários mínimos,401.18,Turista de Evento
Negócios,Sozinho,Hoteis,2025-08-04,2025-08-06,São Paulo - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,843.61,Turista Corporativo
Visitar familiares,Casal,Pontos Culturais,2025-12-11,2025-12-19,São Paulo - SP,Pós-graduação,Estudante,Até 3 salários mínimos,196.2,Turista econômico
Lazer,Família com crianças,Parques de Entretenimento,2025-01-06,2025-01-10,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,726.77,Familia de parques aquaticos
Visitar familiares,Família com crianças,Parques de Entretenimento,2025-01-05,2025-01-14,Goiânia - GO,Ensino Médio,Servidor Público,Até 3 salários mínimos,137.21,Turista econômico
Lazer,Casal,Hoteis,2025-10-10,2025-10-17,Goiânia - GO,Pós-graduação,Servidor Público,6 a 10 salários mínimos,591.9,Familia de parques aquaticos
Negócios,Grupo de amigos,Hoteis,2025-09-02,2025-09-04,Curitiba - PR,Superior Incompleto,Estudante,Até 3 salários mínimos,248.33,Turista Corporativo
Visitar familiares,Família com crianças,Pontos Turisticos,2025-12-17,2025-12-26,Belo Horizonte - MG,Ensino Médio,Estudante,Mais de 10 salários mínimos,154.27,Turista econômico
Lazer,Família com crianças,Pontos Turisticos,2025-07-23,2025-07-30,São José do Rio Preto - SP,Superior Incompleto,Aposentado,6 a 10 salários mínimos,352.08,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2025-10-10,2025-10-13,Curitiba - PR,Ensino Médio,Estudante,Mais de 10 salários mínimos,854.35,Turista fiel premium
Eventos,Casal,Parques Aquáticos,2026-01-01,2026-01-04,São Paulo - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1258.98,Casal de fim de semana
Negócios,Sozinho,Hoteis,2025-09-29,2025-10-01,São Paulo - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,133.4,Turista Corporativo
Negócios,Sozinho,Hoteis,2025-04-07,2025-04-08,Belo Horizonte - MG,Pós-graduação,CLT,Até 3 salários mínimos,199.03,Turista Corporativo
Lazer,Casal,Hoteis,2025-06-02,2025-06-09,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,638.92,Familia de parques aquaticos
Negócios,Família com crianças,Hoteis,2025-12-08,2025-12-14,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,794.99,Familia de parques aquaticos
Visitar familiares,Sozinho,Pontos Turisticos,2025-07-12,2025-07-21,São Paulo - SP,Ensino Médio,Estudante,Até 3 salários mínimos,147.81,Turista econômico
Lazer,Família com crianças,Hoteis,2025-12-18,2025-12-25,São Paulo - SP,Superior Incompleto,Assalariado,3 a 6 salários mínimos,1468.74,Familia de parques aquaticos
Lazer,Casal,Parques Aquáticos,2025-04-06,2025-04-07,São José do Rio Preto - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,515.86,Casal de fim de semana
Negócios,Família com crianças,Centros de Evento,2025-01-24,2025-01-28,Goiânia - GO,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,714.02,Familia de parques aquaticos
Lazer,Família com crianças,Pontos Culturais,2025-01-12,2025-01-19,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,730.99,Familia de parques aquaticos
