Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Eventos,Família com crianças,Parques aquáticos,2025-02-22,2025-02-27,São Paulo - SP,Ensino Médio,Estudante,3 a 6 salários mínimos,645.03,Familia de parques aquaticos
Visitar familiares,Grupo de amigos,Hoteis,2025-07-11,2025-07-15,São Paulo - SP,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,802.0,Turista fiel premium
Lazer,Grupo de amigos,Parques aquáticos,2025-12-31,2026-01-07,São José do Rio Preto - SP,Superior Incompleto,Empresário/Profissional Liberal,6 a 10 salários mínimos,792.62,Familia de parques aquaticos
Eventos,Grupo de amigos,Participar de eventos da cidade,2025-08-21,2025-08-28,Campinas - SP,Superior Incompleto,Aposentado,6 a 10 salários mínimos,271.92,Turista de Evento
Lazer,Casal,Hoteis,2025-04-06,2025-04-10,Curitiba - PR,Ensino Médio,CLT,Mais de 10 salários mínimos,1538.51,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-06-05,2025-06-12,São Paulo - SP,Superior Completo,Servidor Público,Até 3 salários mínimos,128.47,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-09,2025-07-14,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,536.83,Familia de parques aquaticos
Lazer,Grupo de amigos,Parques aquáticos,2025-04-18,2025-04-25,Belo Horizonte - MG,Pós-graduação,Estudante,6 a 10 salários mínimos,459.92,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-05-01,2025-05-09,São Paulo - SP,Superior Incompleto,Empresário/Profissional Liberal,Até 3 salários mínimos,219.61,Turista econômico
Lazer,Sozinho,Parques aquáticos,2025-02-17,2025-02-24,São Paulo - SP,Superior Completo,CLT,Até 3 salários mínimos,246.98,Familia de parques aquaticos
Lazer,Família com crianças,Hoteis,2025-07-28,2025-08-01,Ribeirão Preto - SP,Superior Completo,Estudante,Até 3 salários mínimos,509.09,Familia de parques aquaticos
Visitar familiares,Família com crianças,Parques aquáticos,2025-07-23,2025-07-28,São José do Rio Preto - SP,Pós-graduação,Aposentado,Até 3 salários mínimos,1449.61,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2025-03-20,2025-03-24,Ribeirão Preto - SP,Ensino Médio,Estudante,Até 3 salários mínimos,198.62,Familia de parques aquaticos
Lazer,Sozinho,Parques aquáticos,2025-07-21,2025-07-28,São Paulo - SP,Ensino Médio,Estudante,Até 3 salários mínimos,211.0,Familia de parques aquaticos
Lazer,Família com crianças,Hoteis,2025-07-19,2025-07-26,São José do Rio Preto - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,670.31,Familia de parques aquaticos
Eventos,Grupo de amigos,Participar de eventos da cidade,2025-08-21,2025-08-26,São Paulo - SP,Superior Incompleto,Assalariado,3 a 6 salários mínimos,423.5,Turista de Evento
Visitar familiares,Grupo de amigos,Conhecer pontos turísticos principais,2025-07-10,2025-07-16,Campinas - SP,Ensino Médio,CLT,Até 3 salários mínimos,214.03,Turista econômico
Lazer,Família com crianças,Hoteis,2025-06-17,2025-06-23,São Paulo - SP,Pós-graduação,Aposentado,3 a 6 salários mínimos,1061.64,Turista econômico
Visitar familiares,Família com crianças,Hoteis,2025-12-28,2026-01-03,São Paulo - SP,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,147.29,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-01-05,2025-01-09,Curitiba - PR,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,547.65,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-01-17,2025-01-25,São José do Rio Preto - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,218.98,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-04-06,2025-04-11,São José do Rio Preto - SP,Superior Incompleto,Servidor Público,Mais de 10 salários mínimos,540.33,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-08-29,2025-09-04,São Paulo - SP,Pós-graduação,CLT,Até 3 salários mínimos,155.99,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-01-17,2025-01-24,Goiânia - GO,Pós-graduação,Servidor Público,6 a 10 salários mínimos,786.94,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-03-03,2025-03-05,São Paulo - SP,Pós-graduação,CLT,3 a 6 salários mínimos,119.77,Turista Corporativo
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-12-10,2025-12-19,São Paulo - SP,Ensino Médio,Aposentado,Até 3 salários mínimos,132.15,Turista econômico
Visitar familiares,Família com crianças,Parques aquáticos,2025-07-24,2025-08-01,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Até 3 salários mínimos,202.39,Turista econômico
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-02-16,2025-02-25,Campinas - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,124.8,Turista econômico
Lazer,Casal,Parques aquáticos,2025-02-15,2025-02-20,São José do Rio Preto - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,514.97,Familia de parques aquaticos
Visitar familiares,Sozinho,Participar de eventos da cidade,2025-10-11,2025-10-15,São José do Rio Preto - SP,Pós-graduação,CLT,Mais de 10 salários mínimos,1695.39,Turista fiel premium
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-01-20,2025-01-27,Belo Horizonte - MG,Superior Incompleto,Servidor Público,Até 3 salários mínimos,486.03,Turista econômico
Visitar familiares,Sozinho,Hoteis,2026-01-01,2026-01-03,Curitiba - PR,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1165.87,Turista fiel premium
Negócios,Sozinho,Hoteis,2025-09-05,2025-09-08,Belo Horizonte - MG,Pós-graduação,Estudante,3 a 6 salários mínimos,196.03,Turista Corporativo
Visitar familiares,Grupo de amigos,Hoteis,2025-03-23,2025-03-26,Campinas - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1409.03,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2025-07-05,2025-07-09,São Paulo - SP,Pós-graduação,Aposentado,Mais de 10 salários mínimos,1266.88,Familia de parques aquaticos
Negócios,Família com crianças,Participar de eventos da cidade,2025-08-19,2025-08-23,Campinas - SP,Superior Completo,CLT,3 a 6 salários mínimos,254.99,Turista de Evento
Visitar familiares,Casal,Conhecer pontos turísticos principais,2025-01-07,2025-01-13,Ribeirão Preto - SP,Ensino Médio,Aposentado,Até 3 salários mínimos,146.99,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-12-20,2025-12-25,Curitiba - PR,Superior Incompleto,Estudante,6 a 10 salários mínimos,270.0,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-06-30,2025-07-02,São Paulo - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,162.12,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-01-24,2025-01-28,São Paulo - SP,Pós-graduação,Assalariado,6 a 10 salários mínimos,678.4,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-11-15,2025-11-16,Campinas - SP,Pós-graduação,Aposentado,6 a 10 salários mínimos,602.28,Casal de fim de semana
Negócios,Família com crianças,Parques aquáticos,2025-01-11,2025-01-17,São José do Rio Preto - SP,Pós-graduação,Empresário/Profissional Liberal,Até 3 salários mínimos,1350.6,Familia de parques aquaticos
Visitar familiares,Grupo de amigos,Conhecer pontos turísticos principais,2025-07-04,2025-07-12,São Paulo - SP,Superior Completo,Servidor Público,Mais de 10 salários mínimos,202.37,Turista econômico
Lazer,Família com crianças,"Restaurantes, parques, saídas à noite",2025-12-30,2026-01-06,São Paulo - SP,Ensino Médio,Aposentado,6 a 10 salários mínimos,789.37,Familia de parques aquaticos
Lazer,Grupo de amigos,Parques aquáticos,2025-12-25,2025-12-31,São Paulo - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,506.95,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-09-29,2025-10-02,São José do Rio Preto - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,147.03,Turista Corporativo
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-10-31,2025-11-03,Curitiba - PR,Superior Completo,Aposentado,6 a 10 salários mínimos,498.54,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-07-14,2025-07-19,São José do Rio Preto - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,555.6,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-08-07,2025-08-08,São Paulo - SP,Ensino Médio,CLT,Até 3 salários mínimos,205.59,Turista Corporativo
Negócios,Sozinho,Hoteis,2025-04-28,2025-04-29,São José do Rio Preto - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,541.19,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-07-10,2025-07-16,Curitiba - PR,Pós-graduação,Assalariado,3 a 6 salários mínimos,1437.18,Familia de parques aquaticos
Visitar familiares,Família com crianças,Parques aquáticos,2025-12-31,2026-01-06,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,3 a 6 salários mínimos,641.48,Familia de parques aquaticos
Lazer,Família com crianças,"Restaurantes, parques, saídas à noite",2025-05-31,2025-06-07,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,661.55,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-12-29,2026-01-02,Curitiba - PR,Superior Completo,Aposentado,3 a 6 salários mínimos,484.4,Familia de parques aquaticos
Visitar familiares,Família com crianças,Participar de eventos da cidade,2025-06-02,2025-06-07,Ribeirão Preto - SP,Pós-graduação,Estudante,Até 3 salários mínimos,1623.1,Turista fiel premium
Visitar familiares,Casal,Hoteis,2025-12-24,2025-12-27,Campinas - SP,Superior Completo,Servidor Público,Até 3 salários mínimos,180.54,Turista fiel premium
Lazer,Casal,Hoteis,2025-04-04,2025-04-08,São Paulo - SP,Superior Completo,Aposentado,6 a 10 salários mínimos,567.66,Casal de fim de semana
Negócios,Casal,Hoteis,2025-12-26,2025-12-29,São Paulo - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,959.98,Turista fiel premium
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-11-15,2025-11-16,Ribeirão Preto - SP,Pós-graduação,Assalariado,6 a 10 salários mínimos,622.18,Casal de fim de semana
Lazer,Família com crianças,Participar de eventos da cidade,2025-04-03,2025-04-07,São Paulo - SP,Pós-graduação,Estudante,Até 3 salários mínimos,681.13,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-02-18,2025-02-22,São Paulo - SP,Superior Completo,Estudante,3 a 6 salários mínimos,572.63,Familia de parques aquaticos
Visitar familiares,Casal,Conhecer pontos turísticos principais,2025-10-12,2025-10-14,São Paulo - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,573.07,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2025-07-02,2025-07-07,Curitiba - PR,Ensino Médio,Empresário/Profissional Liberal,6 a 10 salários mínimos,673.63,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2025-11-05,2025-11-11,Goiânia - GO,Superior Incompleto,Aposentado,Até 3 salários mínimos,609.62,Familia de parques aquaticos
Lazer,Família com crianças,Conhecer pontos turísticos principais,2025-12-01,2025-12-08,Curitiba - PR,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,626.48,Familia de parques aquaticos
Negócios,Grupo de amigos,Parques aquáticos,2025-09-28,2025-09-29,Goiânia - GO,Ensino Médio,Empresário/Profissional Liberal,3 a 6 salários mínimos,417.93,Turista Corporativo
Visitar familiares,Família com crianças,Participar de eventos da cidade,2025-12-30,2026-01-04,São Paulo - SP,Pós-graduação,Aposentado,Mais de 10 salários mínimos,1353.4,Turista fiel premium
Eventos,Família com crianças,Parques aquáticos,2025-07-27,2025-08-03,Ribeirão Preto - SP,Pós-graduação,Aposentado,3 a 6 salários mínimos,560.41,Familia de parques aquaticos
Lazer,Grupo de amigos,Hoteis,2025-07-14,2025-07-19,São Paulo - SP,Superior Completo,Estudante,Até 3 salários mínimos,727.87,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-12-28,2026-01-03,Belo Horizonte - MG,Ensino Médio,Aposentado,Até 3 salários mínimos,235.24,Turista econômico
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-07-28,2025-08-06,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,139.18,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-04-23,2025-04-27,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,731.04,Familia de parques aquaticos
Lazer,Família com crianças,Hoteis,2025-12-14,2025-12-21,Belo Horizonte - MG,Superior Incompleto,Empresário/Profissional Liberal,Mais de 10 salários mínimos,749.59,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-12-25,2025-12-30,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,6 a 10 salários mínimos,1445.25,Familia de parques aquaticos
Lazer,Sozinho,Parques aquáticos,2025-09-12,2025-09-18,Curitiba - PR,Superior Completo,Assalariado,6 a 10 salários mínimos,603.29,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-12-19,2025-12-25,Campinas - SP,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,668.22,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-01-07,2025-01-12,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,594.24,Familia de parques aquaticos
Negócios,Casal,Parques aquáticos,2025-07-14,2025-07-19,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,729.04,Familia de parques aquaticos
Negócios,Família com crianças,Parques aquáticos,2025-07-08,2025-07-14,Belo Horizonte - MG,Ensino Médio,Aposentado,6 a 10 salários mínimos,632.31,Familia de parques aquaticos
Lazer,Família com crianças,Conhecer pontos turísticos principais,2025-12-31,2026-01-01,Curitiba - PR,Superior Completo,Aposentado,3 a 6 salários mínimos,621.12,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-07-02,2025-07-06,Goiânia - GO,Superior Incompleto,Empresário/Profissional Liberal,6 a 10 salários mínimos,612.84,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-10-04,2025-10-11,Goiânia - GO,Superior Completo,Estudante,6 a 10 salários mínimos,763.94,Familia de parques aquaticos
Visitar familiares,Casal,Hoteis,2025-12-23,2025-12-25,São Paulo - SP,Superior Completo,Servidor Público,Mais de 10 salários mínimos,1761.63,Turista fiel premium
Visitar familiares,Casal,Hoteis,2025-06-04,2025-06-08,São Paulo - SP,Pós-graduação,CLT,6 a 10 salários mínimos,1771.93,Turista fiel premium
